Торгівельне найменування,Міжнародне непатентоване найменування,Склад (діючі),Код АТС,Заявник: назва українською,Заявник: країна,Заявник: адреса,Виробник: назва українською,Виробник: країна,Виробник: адреса,Номер Реєстраційного посвідчення,Термін придатності: значення,Термін придатності: одиниця вимірювання,Допоміжні речовини,Діючі речовини,Посилання на медикамент
ГЕПАРИН-ДАРНИЦЯ,Betula**,1 пачка містить березових бруньок 50 г,B01A B01,,"ПрАТ ""Ліктрави""",Україна,1,"ПрАТ ""Ліктрави""",Україна,,http://www.drlz.com.ua/ibp/lz_www.nsf/id/B3DBA7ED12FD7B91C22585DD0040D17F/$file/UA34680101_68F7.mht,2 роки,"карбомер, трометамін, пропіленгліколь, спирт бензиловий, вода очищена","Гепарин натрій, Гепарин",https://compendium.com.ua/dec/267286/
ГЕПАРИН-ІНДАР,Comb drug,"1 таблетка, вкрита плівковою оболонкою, містить кальцію 600 мг (у вигляді кальцію карбонату 1500 мг) і 10 мкг (400 МО) вітаміну D3 (холекальциферол у вигляді порошку холекальциферолу 100000 МО/г)",B01A B01,"ЗАТ ""Береш Фарма""",Угорщина,"1037 м. Будапешт, вул. Міковіні, б.2-4, Угорщина","ЗАТ ""Береш Фарма""",Угорщина,"5005, м. Сольнок, вул. Надьшандор Йожеф, б.39, Угорщина",UA/1363/01/01,2,рік,,Гепарин натрію,https://compendium.com.ua/dec/273468/
ГЕПАРИН-НОВОФАРМ,Comb drug,"1 таблетка, вкрита плівковою оболонкою, містить піридоксину 1,6 мг (у формі 1,9448 мг піридоксину гідрохлориду), магнію 250 мг (у формі 352,92 мг магнію оксиду важкого та 463,93 мг магнію цитрату)",B01A B01,"ЗАТ ""Береш Фарма""",Угорщина,"1037 м. Будапешт, вул. Міковіні, б.2-4, Угорщина","ЗАТ ""Береш Фарма""",Угорщина,"5005, м. Сольнок, вул. Надьшандор Йожеф, б.39, Угорщина",UA/4516/01/01,2,рік,"спирт бензиловий, натрію хлорид, вода для ін’єкцій",Гепарин,https://compendium.com.ua/dec/261895/
ГЕПАРИН-ФАРМЕКС,Coagulation factor VIII,1 флакон з порошком містить: фактор коагуляції крові людини VIII – 1000 МО,B01A B01,ЦСЛ Берінг ГмбХ,Німеччина,"Еміль-фон-Берінг-Штрассе 76, 35041 Марбург, Гессен, Німеччина",ЦСЛ Берінг ГмбХ,Німеччина,"Еміль-фон-Берінг-Штрассе 76, 35041 Марбург, Гессен, Німеччина",UA/17404/01/03,3,рік,"спирт бензиловий, натрію хлорид, вода для ін’єкцій",Гепарин,https://compendium.com.ua/dec/264754/
ГЕПАРИНОВА МАЗЬ,Enalapril,1 таблетка містить еналаприлу малеату 10 мг,C05B A53,БЕРЛІН-ХЕМІ АГ,Німеччина,"Глінікер Вег 125, 12489 Берлін, Німеччина.","Менаріні-Фон Хейден ГмбХ (виробництво ""in bulk"", пакування, контроль та випуск серій)",Німеччина,"Лейпцігер Штрасе 7-13, 01097 Дрезден, Німеччина",UA/7553/01/01,"3 роки.Не застосовувати препарат після закінчення терміну придатності, зазначеного на упаковці!",3,,"Гепарин натрій, Бензокаїн",https://compendium.com.ua/dec/271763/
ГЕПАСОЛ® НЕО 8 %,Enalapril,1 таблетка містить еналаприлу малеату 10 мг,B05B A01,БЕРЛІН-ХЕМІ АГ,Німеччина,"Глінікер Вег 125, 12489 Берлін, Німеччина.",Менаріні-Фон Хейден ГмбХ (пакування),Німеччина,"Лейпцігер Штрасе 7-13, 01097 Дрезден, Німеччина",UA/7553/01/01,3,рік,"кислота оцтова льодяна, вода для ін'єкцій","L-валін, L-ізолейцин, L-лейцин, L-лізин, L-метіонін, L-треонін, L-фенілаланін, L-триптофан, L-аланін, L-аргінін, Гліцин, L-гістидин, L-пролін, L-Серин, L-цистеїн",https://compendium.com.ua/dec/268095/
ГЕПАТОКС,Enalapril,1 таблетка містить еналаприлу малеату 20 мг,A05B A06,БЕРЛІН-ХЕМІ АГ,Німеччина,"Глінікер Вег 125, 12489 Берлін, Німеччина.",Менаріні-Фон Хейден ГмбХ (пакування),Німеччина,"Лейпцігер штрасе 7-13, 01097 Дрезден, Німеччина",UA/7553/01/02,3,рік,,L-орнитина L-аспартат,https://compendium.com.ua/dec/263816/
ГЕПАТОФІТ,Enalapril,1 таблетка містить еналаприлу малеату 20 мг,A05A X10**,БЕРЛІН-ХЕМІ АГ,Німеччина,"Глінікер Вег 125, 12489 Берлін, Німеччина.",Менаріні-Фон Хейден ГмбХ (пакування),Німеччина,"Лейпцігер штрасе 7-13, 01097 Дрезден, Німеччина",UA/7553/01/02,3,рік,,"Лушпинки плодів квасолі звичайної, Корені кульбаби, Квітки цмину пісчаного, Плоди шипшини, Кукурудзяні рильця, Квітки календули (нагідок лікарських), Трава козлятнику лікарського, Листя кропиви, Плоди розторопши плямистої",https://compendium.com.ua/dec/268129/
ГЕПАЦЕФ КОМБІ,Enalapril,за рецептом,J01D D62,,БЕРЛІН-ХЕМІ АГ,Німеччина,3,"БЕРЛІН-ХЕМІ АГ (Виробник, що виконує виробництво препарату in bulk, випуск та контроль серії, кінцеве пакування)",Німеччина,,"3 роки. Не застосовувати препарат після закінчення терміну придатності, зазначеного на упаковці.",3,,"Цефоперазон, Сульбактам",https://compendium.com.ua/dec/261820/
ГЕПАЦЕФ®,Enalapril,за рецептом,J01D D12,,БЕРЛІН-ХЕМІ АГ,Німеччина,3,"БЕРЛІН-ХЕМІ АГ (Виробник, що виконує виробництво препарату in bulk, випуск та контроль серії, кінцеве пакування)",Німеччина,,"3 роки. Не застосовувати препарат після закінчення терміну придатності, зазначеного на упаковці.",3,,Цефоперазон,https://compendium.com.ua/dec/260991/
ГЕРБІОН® СИРОП ПЕРВОЦВІТУ,Fenoterol and ipratropium bromide," по 1 флакону в картонній коробці",R05C A10,,,Берінгер Інгельхайм Інтернешнл ГмбХ,"Бінгер Штрассе 173, 55216 Інгельхайм-на-Рейні, Німеччина",1,Істітуто де Анжелі С.р.л.,,http://www.drlz.com.ua/ibp/lz_www.nsf/id/BB9441451983D6C0C22586AE003D7CAA/$file/UA107510101_4F5E.mht,3 роки,"цукроза, метилпарагідроксибензоат (е 218)","Екстракт водний кореня первоцвіту (1:2-4,6), Екстракт водний трави чебрецю (1:3,3), Левоментол",https://compendium.com.ua/dec/275142/
